answer,答案
art,美術
ask,問
blackboard,黑板
book,書
chalk,粉筆
Chinese,中文
class,班級
classmate,同學
classroom,教室
dictionary,字典
draw,畫
Elementary school,國小
English,英文
eraser,橡皮擦
example,例子
exercise,運動
friend,朋友
grade,成績
History,歷史
homework,家庭作業
Junior high school,國中
language,語言
leader,領導者
learn,學習
lesson,課
letter,信
library,圖書館
listen,聽
map,地圖
mark,做記號
Math,數學
music,音樂
notebook,筆記本
novel,小說
page,頁
paper,紙
pass,及格
PE,體育
pen,筆
pencil,鉛筆
photo,照片
Physics,物理學
piano,鋼琴
picture,圖片
playground,操場
postcard,明信片
practice,練習
prepare,準備
present,禮物
problem,問題
professor,教授
program,節目
question,問題
race,競賽
read,讀
repeat,重複
report,報告
rule,規則
ruler,尺
say,說
school,學校
seat,座位
Senior high school,高中
sentence,句子
speak,說
spell,拼字
sport,運動
stationery,文具
story,故事
student,學生
study,研讀
subject,學科
swim,游泳
talk,說話
teach,教學
teacher,老師
test,考試
understand,了解
uniform,制服
workbook,作業本
write,寫
